feature,avg_shap,total_contribution
visitor_pregame_avg_def_drb_pct_ingame,0.021636736,14.626433
home_pregame_avg_def_to_pct_ingame,0.018953076,12.81228
home_pregame_ema_def_to_pct_ingame,0.017262576,11.669501
home_pregame_avg_def_drb_pct_ingame,0.013514825,9.136022
home_pregame_ema_def_drb_pct_ingame,0.012998016,8.786658
visitor_pregame_avg_off_orb_pct_ingame,0.012709853,8.591861
home_pregame_avg_off_orb_pct_ingame,0.009627981,6.5085154
home_pg_coach_games_this_season,0.007840656,5.3002834
home_pregame_ema_off_orb_pct_ingame,0.0046427725,3.1385143
visitor_pregame_ema_def_drb_pct_ingame,0.0040654107,2.7482176
home_pregame_avg_3pa_rate,0.0032950626,2.2274623
home_games_played_season,0.0032429968,2.1922657
home_pregame_avg_def_eff_ingame,0.0024865621,1.680916
visitor_pregame_ema_def_to_pct_ingame,0.0016895423,1.1421306
visitor_games_played_season,0.0011387612,0.7698026
home_pg_coach_win_pct_this_season,0.0010587581,0.7157205
home_pregame_ema_def_eff_ingame,0.00096348906,0.6513186
visitor_pg_coach_games_this_season,0.00082794396,0.5596901
visitor_pregame_avg_adj_o_ingame,0.00072471466,0.48990712
visitor_pregame_avg_tempo_ingame,0.00071684725,0.48458874
home_pregame_scoring_margin_sd,0.0006541556,0.44220918
visitor_pregame_ema_def_efg_pct_ingame,0.000643526,0.43502358
home_pregame_avg_adj_o_ingame,0.00059859344,0.40464917
home_pregame_avg_tempo_ingame,0.00056159263,0.37963662
home_pregame_ema_3pa_rate,0.00056102115,0.3792503
visitor_pregame_ema_off_to_pct_ingame,0.0005282473,0.35709518
visitor_pregame_avg_3pa_rate,0.000471183,0.3185197
visitor_pregame_scoring_margin_sd,0.00041179237,0.27837163
home_pregame_avg_off_to_pct_ingame,0.00039479404,0.26688078
visitor_pregame_ema_off_orb_pct_ingame,0.00030779906,0.20807217
visitor_pregame_avg_off_to_pct_ingame,0.00029966838,0.20257582
visitor_pregame_ema_def_eff_ingame,0.00015708679,0.106190674
visitor_pregame_ema_off_ftr_ingame,0.00013169947,0.08902884
home_pg_coach_ema_win_pct_this_season,0.00011193309,0.07566677
visitor_pg_coach_ema_win_pct_this_season,0.00011052748,0.074716575
home_pregame_ema_off_ftr_ingame,0.00010896288,0.073658906
Day_of_Week,4.1438117e-05,0.028012168
Pace_Difference,3.7786056e-05,0.025543373
