feature,avg_shap,total_contribution
home_pregame_ema_off_to_pct_ingame,0.002320001,1.3200805
visitor_pregame_avg_tempo_ingame,0.0014920859,0.8489969
Home_Off_vs_Visitor_Def_Adv,0.0010782174,0.6135057
home_pregame_avg_tempo_ingame,0.0007924722,0.45091668
visitor_pregame_ema_def_ftr_ingame,0.0007631384,0.43422577
home_confidence_ema,0.0007047393,0.40099666
Visitor_Off_vs_Home_Def_Adv,0.0006042835,0.3438373
visitor_pregame_avg_off_to_pct_ingame,0.0005910251,0.33629328
home_pregame_ema_off_orb_pct_ingame,0.00047133985,0.26819238
home_pregame_ema_tempo_ingame,0.00046008994,0.26179117
visitor_pregame_avg_off_eff_ingame,0.00045007456,0.25609243
visitor_pregame_ema_def_eff_ingame,0.0003546705,0.20180753
visitor_pregame_avg_off_ftr_ingame,0.00034241469,0.19483396
visitor_pregame_ema_off_eff_ingame,0.00030714995,0.17476833
home_pg_coach_win_pct_at_team,0.00029211293,0.16621226
home_pregame_ema_off_ftr_ingame,0.0002394184,0.13622907
home_pregame_avg_off_efg_pct_ingame,0.00018924245,0.10767895
home_pregame_ema_adj_d_ingame,0.00017346803,0.09870331
Day_of_Week,0.00016991861,0.09668369
visitor_sentiment_ema,0.0001528935,0.0869964
home_pregame_avg_def_to_pct_ingame,0.00012664484,0.07206091
home_pg_coach_seasons_at_team,0.00010909745,0.062076446
home_pregame_ema_3pa_rate,0.000103172555,0.058705185
home_pregame_avg_off_eff_ingame,9.485563e-05,0.053972855
home_pregame_ema_def_drb_pct_ingame,8.2652536e-05,0.047029294
visitor_confidence_ema,1.7597535e-05,0.010012997
visitor_pregame_ema_def_to_pct_ingame,1.2936736e-05,0.0073610027
home_pregame_avg_def_eff_ingame,3.3593265e-06,0.0019114567
visitor_pregame_ema_def_drb_pct_ingame,-8.0628473e-07,-0.00045877602
Volatility_Diff,-3.868044e-06,-0.002200917
visitor_pg_coach_seasons_at_team,-5.9002764e-06,-0.0033572572
visitor_pregame_avg_def_drb_pct_ingame,-2.865413e-05,-0.0163042
visitor_pregame_ema_tempo_ingame,-3.509031e-05,-0.019966386
Is_Conference_Game,-0.00010288569,-0.05854196
home_pregame_ema_off_eff_ingame,-0.000110329034,-0.06277722
latitude,-0.000119205964,-0.06782819
home_pg_coach_wins_at_team,-0.00018897695,-0.10752788
Pace_Difference,-0.00019286408,-0.10973966
home_pregame_ema_off_efg_pct_ingame,-0.00019886637,-0.11315496
visitor_pg_coach_win_pct_at_team,-0.00021775973,-0.123905286
visitor_pregame_ema_off_to_pct_ingame,-0.0002295896,-0.13063648
visitor_pregame_avg_off_efg_pct_ingame,-0.00024622303,-0.14010091
visitor_pg_coach_wins_at_team,-0.00025148198,-0.14309324
home_pg_coach_ema_win_pct_this_season,-0.00026350515,-0.14993443
home_pregame_avg_off_orb_pct_ingame,-0.00026726432,-0.1520734
home_pregame_avg_adj_d_ingame,-0.00026775384,-0.15235193
visitor_games_played_season,-0.00028720076,-0.16341724
home_opeid,-0.0002999431,-0.17066762
home_pregame_ema_def_eff_ingame,-0.00032248753,-0.1834954
visitor_pg_coach_games_this_season,-0.0003632749,-0.20670342
visitor_pregame_avg_def_efg_pct_ingame,-0.00036890825,-0.2099088
home_pg_coach_games_at_team,-0.00038194217,-0.21732509
home_pregame_avg_def_drb_pct_ingame,-0.0003844693,-0.21876304
visitor_pregame_avg_off_orb_pct_ingame,-0.0004161875,-0.2368107
home_pg_coach_losses_at_team,-0.000421251,-0.23969181
home_pg_coach_win_pct_this_season,-0.00042929358,-0.24426804
visitor_pg_coach_games_at_team,-0.00043188414,-0.24574208
visitor_pregame_ema_off_orb_pct_ingame,-0.0004472551,-0.25448814
home_pregame_ema_def_ftr_ingame,-0.00051268406,-0.29171723
home_pregame_avg_3pa_rate,-0.0005214916,-0.2967287
visitor_pregame_ema_adj_d_ingame,-0.0005673667,-0.32283166
visitor_pregame_ema_def_efg_pct_ingame,-0.0005688659,-0.3236847
visitor_pregame_ema_adj_o_ingame,-0.0006198785,-0.35271087
home_games_played_season,-0.0006209591,-0.35332572
home_pregame_avg_adj_o_ingame,-0.00068052165,-0.3872168
visitor_pg_coach_win_pct_this_season,-0.00068742957,-0.39114743
home_pregame_avg_off_ftr_ingame,-0.00070470304,-0.40097603
visitor_pg_coach_ema_win_pct_this_season,-0.0007396631,-0.4208683
visitor_pregame_avg_adj_o_ingame,-0.00078031275,-0.44399795
home_pregame_scoring_margin_sd,-0.0007863703,-0.4474447
visitor_pregame_avg_3pa_rate,-0.0007928055,-0.45110634
home_pregame_ema_adj_o_ingame,-0.00082499365,-0.4694214
visitor_pregame_ema_off_ftr_ingame,-0.00082507404,-0.46946713
visitor_pregame_scoring_margin_sd,-0.00085686176,-0.48755434
visitor_pregame_ema_off_efg_pct_ingame,-0.00086550193,-0.4924706
altitude_meters,-0.0009012983,-0.5128387
home_pregame_avg_def_ftr_ingame,-0.0009339567,-0.53142136
visitor_pregame_elo,-0.00096049556,-0.54652196
visitor_pregame_avg_def_eff_ingame,-0.0009755356,-0.55507976
visitor_pg_coach_losses_at_team,-0.0010567403,-0.6012852
home_pg_coach_wins_this_season,-0.0011102704,-0.63174385
home_pg_coach_games_this_season,-0.0011838158,-0.6735912
visitor_pregame_avg_def_ftr_ingame,-0.0012125928,-0.6899653
visitor_opeid,-0.0012283049,-0.6989055
visitor_pregame_ema_3pa_rate,-0.0014675171,-0.8350172
Month,-0.001643333,-0.93505645
visitor_pregame_avg_def_to_pct_ingame,-0.0016892233,-0.96116805
home_pregame_ema_def_to_pct_ingame,-0.0017432291,-0.99189734
home_pregame_avg_def_efg_pct_ingame,-0.0018616657,-1.0592878
