feature,importance
home_pg_coach_games_this_season,0.057244003
Month,0.044587817
visitor_pregame_avg_def_drb_pct_ingame,0.04347178
home_pregame_avg_def_efg_pct_ingame,0.035783518
home_games_played_season,0.035415836
home_pregame_ema_def_to_pct_ingame,0.03266041
home_pregame_avg_def_to_pct_ingame,0.03242667
home_pregame_avg_def_drb_pct_ingame,0.03241969
longitude,0.030829983
home_pregame_ema_def_drb_pct_ingame,0.027718013
visitor_pg_coach_wins_this_season,0.025940016
home_pregame_avg_def_ftr_ingame,0.02178306
home_sentiment_ema,0.021072144
visitor_pg_coach_games_this_season,0.019369971
home_pregame_scoring_margin_sd,0.018862162
visitor_pregame_avg_adj_d_ingame,0.018033266
visitor_pregame_scoring_margin_sd,0.017147776
visitor_pregame_avg_off_orb_pct_ingame,0.016654689
visitor_confidence_ema,0.014592582
home_pregame_avg_off_efg_pct_ingame,0.013827303
visitor_pregame_ema_def_ftr_ingame,0.013622571
home_pregame_avg_off_orb_pct_ingame,0.013548595
home_pg_coach_games_at_team,0.012906669
visitor_opeid,0.012723133
visitor_games_played_season,0.012454121
visitor_pregame_avg_def_ftr_ingame,0.012045253
home_pg_coach_wins_this_season,0.011901347
home_pregame_avg_def_eff_ingame,0.011809347
visitor_pregame_avg_def_efg_pct_ingame,0.011155606
home_pregame_avg_3pa_rate,0.010868009
elo_diff_home_adv,0.010052315
Is_Conference_Game,0.009674331
latitude,0.008247335
home_pregame_ema_off_orb_pct_ingame,0.008171401
home_pg_coach_win_pct_this_season,0.007828411
visitor_pregame_ema_def_drb_pct_ingame,0.007241905
home_pregame_ema_off_eff_ingame,0.0066974415
visitor_pregame_avg_off_eff_ingame,0.006217106
visitor_pregame_avg_off_efg_pct_ingame,0.0059557282
home_pregame_ema_def_eff_ingame,0.0059332885
home_pregame_avg_adj_d_ingame,0.005908513
home_pg_coach_wins_at_team,0.0058059627
visitor_pg_coach_games_at_team,0.005192342
home_pregame_ema_def_ftr_ingame,0.0051057446
visitor_pregame_ema_def_efg_pct_ingame,0.0048028743
home_confidence_ema,0.004652874
visitor_pregame_elo,0.0045818347
visitor_sentiment_ema,0.0043198066
elo_diff_raw,0.004262256
home_pregame_ema_def_efg_pct_ingame,0.0039657657
Home_Off_vs_Visitor_Def_Adv,0.0037343698
visitor_pregame_ema_adj_d_ingame,0.0036029946
visitor_pregame_ema_def_to_pct_ingame,0.0035935694
home_pregame_ema_off_to_pct_ingame,0.0034670795
visitor_pregame_avg_def_eff_ingame,0.0033602708
visitor_pregame_avg_tempo_ingame,0.003147143
visitor_pg_coach_win_pct_at_team,0.0031328169
home_pg_coach_losses_at_team,0.002922426
home_pregame_ema_3pa_rate,0.0026376212
visitor_pg_coach_losses_at_team,0.0021432817
home_pregame_avg_off_eff_ingame,0.0021421257
visitor_pg_coach_win_pct_this_season,0.0020754877
home_pg_coach_ema_win_pct_this_season,0.0020414365
home_pregame_elo,0.0019147125
visitor_pregame_avg_3pa_rate,0.0016717776
visitor_pg_coach_ema_win_pct_this_season,0.0015719287
visitor_pregame_ema_off_to_pct_ingame,0.0014997018
visitor_pregame_avg_adj_o_ingame,0.0014769752
visitor_pregame_avg_def_to_pct_ingame,0.0014370232
visitor_pregame_ema_off_orb_pct_ingame,0.0014320448
Pace_Difference,0.001420623
visitor_pregame_ema_off_eff_ingame,0.0013655426
home_pregame_avg_tempo_ingame,0.0013330987
visitor_pg_coach_wins_at_team,0.0012648859
home_pregame_ema_adj_o_ingame,0.0012562342
home_pg_coach_win_pct_at_team,0.0012280928
home_pregame_avg_off_ftr_ingame,0.001211459
visitor_pregame_avg_off_ftr_ingame,0.0012081758
home_pregame_ema_off_ftr_ingame,0.0011917484
visitor_pregame_ema_3pa_rate,0.0011003421
visitor_pregame_ema_off_ftr_ingame,0.0010840974
home_pregame_avg_adj_o_ingame,0.0010818294
altitude_meters,0.0010209818
home_pregame_avg_off_to_pct_ingame,0.0009188796
visitor_pregame_ema_off_efg_pct_ingame,0.00089063094
home_pregame_ema_adj_d_ingame,0.0007678229
Visitor_Off_vs_Home_Def_Adv,0.0007654995
visitor_pregame_avg_off_to_pct_ingame,0.0007587757
home_opeid,0.0007255672
visitor_pregame_ema_def_eff_ingame,0.0006969351
home_pg_coach_seasons_at_team,0.0006850975
home_pregame_ema_off_efg_pct_ingame,0.00063869345
Volatility_Diff,0.00055807625
home_pregame_ema_tempo_ingame,0.00052831107
visitor_pregame_ema_tempo_ingame,0.000490333
Day_of_Week,0.00042227397
visitor_pg_coach_seasons_at_team,0.00026059552
visitor_pregame_ema_adj_o_ingame,0.00017085922
