feature,importance
open_total,0.40679607
home_pregame_avg_def_to_pct_ingame,0.031661812
elo_diff_home_adv,0.02734375
visitor_pregame_avg_def_to_pct_ingame,0.02629744
home_pregame_ema_def_drb_pct_ingame,0.025420211
longitude,0.02108453
home_pregame_ema_off_to_pct_ingame,0.01992543
visitor_pregame_ema_def_efg_pct_ingame,0.01948731
home_pregame_ema_def_to_pct_ingame,0.019085377
visitor_opeid,0.018116869
home_sentiment_ema,0.015309686
home_pregame_avg_def_efg_pct_ingame,0.014622117
visitor_pregame_avg_def_drb_pct_ingame,0.013602763
visitor_pg_coach_wins_this_season,0.012307971
home_pregame_avg_def_eff_ingame,0.012268818
home_pregame_ema_def_efg_pct_ingame,0.011372127
home_pg_coach_games_this_season,0.010993928
visitor_pregame_ema_3pa_rate,0.010309349
home_pg_coach_win_pct_this_season,0.010192426
home_pregame_ema_off_ftr_ingame,0.010130332
altitude_meters,0.0094491625
visitor_pregame_avg_adj_d_ingame,0.009268628
visitor_confidence_ema,0.008968661
Home_Off_vs_Visitor_Def_Adv,0.008968291
visitor_pregame_ema_off_orb_pct_ingame,0.008582696
visitor_pregame_avg_off_to_pct_ingame,0.00857789
home_pregame_avg_off_to_pct_ingame,0.007913467
home_pregame_ema_def_eff_ingame,0.007896513
home_pregame_avg_def_ftr_ingame,0.007840759
elo_diff_raw,0.00771551
home_pg_coach_games_at_team,0.007625387
visitor_pregame_ema_off_efg_pct_ingame,0.007476358
visitor_pregame_ema_adj_o_ingame,0.007217175
visitor_pregame_avg_tempo_ingame,0.0072046067
visitor_pregame_elo,0.0071818796
visitor_pregame_ema_off_ftr_ingame,0.00714791
home_pregame_elo,0.006961725
home_pregame_scoring_margin_sd,0.0069477297
visitor_pregame_avg_def_ftr_ingame,0.0068952553
Month,0.0068027177
home_games_played_season,0.006681216
visitor_pregame_ema_adj_d_ingame,0.006653928
visitor_pregame_avg_off_efg_pct_ingame,0.006536194
home_pregame_avg_3pa_rate,0.006515388
visitor_pregame_scoring_margin_sd,0.006208759
visitor_pregame_avg_def_eff_ingame,0.006007515
visitor_pregame_avg_3pa_rate,0.0058878977
home_pg_coach_ema_win_pct_this_season,0.0058339275
visitor_pg_coach_games_at_team,0.005714967
visitor_pregame_avg_off_ftr_ingame,0.0056810384
latitude,0.0055526514
home_pregame_avg_off_ftr_ingame,0.005483605
visitor_pregame_ema_def_drb_pct_ingame,0.0054347194
visitor_pregame_ema_def_ftr_ingame,0.0052623437
home_pregame_ema_off_orb_pct_ingame,0.0052291467
Volatility_Diff,0.0050798813
home_pg_coach_wins_at_team,0.0049369093
home_pregame_ema_tempo_ingame,0.0049259467
home_pregame_ema_3pa_rate,0.0049220524
visitor_pregame_avg_off_eff_ingame,0.0049139415
home_pregame_ema_off_efg_pct_ingame,0.0048500863
visitor_pg_coach_seasons_at_team,0.0047315736
visitor_pregame_avg_off_orb_pct_ingame,0.004720029
home_pregame_avg_adj_d_ingame,0.004673944
visitor_pregame_avg_adj_o_ingame,0.0046609016
visitor_pg_coach_ema_win_pct_this_season,0.004639878
visitor_pg_coach_win_pct_at_team,0.0045437594
home_confidence_ema,0.0045370883
home_pregame_ema_off_eff_ingame,0.0042427504
home_opeid,0.004173914
home_pg_coach_wins_this_season,0.004077502
home_pregame_ema_def_ftr_ingame,0.0040139346
home_pregame_avg_off_orb_pct_ingame,0.003862909
Visitor_Off_vs_Home_Def_Adv,0.0036969197
visitor_pregame_ema_def_eff_ingame,0.0036493288
visitor_pg_coach_losses_at_team,0.0036176872
home_pregame_avg_tempo_ingame,0.0035991278
visitor_pg_coach_games_this_season,0.0034889001
visitor_pregame_ema_off_eff_ingame,0.0034430844
visitor_pregame_ema_def_to_pct_ingame,0.0034378637
Pace_Difference,0.003311861
home_pregame_ema_adj_o_ingame,0.0032268357
home_pregame_avg_off_eff_ingame,0.0031680197
home_pregame_avg_off_efg_pct_ingame,0.0031651305
visitor_sentiment_ema,0.0031123874
home_pregame_avg_def_drb_pct_ingame,0.0030538011
visitor_pregame_ema_off_to_pct_ingame,0.0028390926
visitor_pregame_avg_def_efg_pct_ingame,0.0027853143
visitor_pg_coach_win_pct_this_season,0.0025655287
visitor_games_played_season,0.0022261653
home_pg_coach_win_pct_at_team,0.0021863414
Day_of_Week,0.002180872
home_pg_coach_losses_at_team,0.0021450005
home_pregame_avg_adj_o_ingame,0.002109164
visitor_pg_coach_wins_at_team,0.0019502684
home_pregame_ema_adj_d_ingame,0.0019223396
visitor_pregame_ema_tempo_ingame,0.0017278347
home_pg_coach_seasons_at_team,0.001349325
Is_Conference_Game,0.00084971974
